id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
41301,-58.4860668902511,-34.5472329781263,ICBC,BANELCO,MELIAN 4620,CABA,2,False,False,MELIAN AV.,4620,,Saavedra,Comuna 12,1430,C1430EZT
41097,-58.4712605840152,-34.601312748063,HSBC Bank Argentina,BANELCO,MIGUEL ANGEL Y SAN MARTIN AV.,CABA,2,False,False,MIGUEL ANGEL,0,SAN MARTIN AV.,Paternal,Comuna 15,,
40914,-58.3708343883752,-34.6066182607343,Banco Galicia,BANELCO,"MITRE, BARTOLOME Y 25 DE MAYO",CABA,3,False,False,"MITRE, BARTOLOME",0,25 DE MAYO,San Nicolas,Comuna 1,,
40982,-58.4433255783369,-34.6252359309248,Banco Galicia,BANELCO,"MITRE, EMILIO Y VALLE",CABA,1,False,False,"MITRE, EMILIO",0,VALLE,Caballito,Comuna 6,,
40179,-58.4509127793749,-34.5529174456946,Banco Santander Río,BANELCO,MONROE Y DEL LIBERTADOR AV.,CABA,2,False,False,MONROE,0,DEL LIBERTADOR AV.,Belgrano,Comuna 13,,
41016,-58.4506881718966,-34.553194153093,CitiBank,BANELCO,"MONROE Y QUINTEROS, LIDORO J. AV.",CABA,2,False,False,MONROE,0,"QUINTEROS, LIDORO J. AV.",Belgrano,Comuna 13,,
40092,-58.4044569402752,-34.6393440434535,Banco Santander Río,BANELCO,MONTEAGUDO Y USPALLATA,CABA,1,False,False,MONTEAGUDO,0,USPALLATA,Parque Patricios,Comuna 4,,
40149,-58.4056621986896,-34.6404012616978,Banco Santander Río,BANELCO,MONTEAGUDO Y USPALLATA,CABA,1,False,False,MONTEAGUDO,0,USPALLATA,Parque Patricios,Comuna 4,,
40448,-58.373102820694,-34.6453969635116,Banco Supervielle,BANELCO,MONTES DE OCA 1580,CABA,2,False,False,"MONTES DE OCA, MANUEL",1580,,Barracas,Comuna 4,1270,C1270ABP
40416,-58.3895789880941,-34.6031760662193,Banco Supervielle,BANELCO,MONTEVIDEO 498,CABA,2,False,False,MONTEVIDEO,498,,San Nicolas,Comuna 1,1019,C1019ABJ
41206,-58.3841994266217,-34.589056595087,HSBC Bank Argentina,BANELCO,MONTEVIDEO Y POSADAS,CABA,1,False,False,MONTEVIDEO,0,POSADAS,Retiro,Comuna 1,,
41060,-58.3905948445351,-34.59582731824,CitiBank,BANELCO,MONTEVIDEO Y SANTA FE AV.,CABA,3,False,False,MONTEVIDEO,0,SANTA FE AV.,Recoleta,Comuna 2,,
41012,-58.4525800673869,-34.6250732817703,CitiBank,BANELCO,MORELOS Y RIVADAVIA AV.,CABA,2,False,False,MORELOS,0,RIVADAVIA AV.,Caballito,Comuna 6,,
40103,-58.4000927451413,-34.6133271615254,Banco Santander Río,BANELCO,MORENO 2400,CABA,2,False,False,MORENO,2400,,Balvanera,Comuna 3,1094,C1094ABL
39890,-58.3732945449462,-34.6115653161801,Banco Itaú,BANELCO,MORENO 498,CABA,2,False,False,MORENO,498,,Monserrat,Comuna 1,1091,C1091AAJ
40238,-58.3781594689375,-34.6118651527664,Banco Santander Río,BANELCO,MORENO 838,CABA,2,False,False,MORENO,838,,Monserrat,Comuna 1,1091,C1091AAR
40480,-58.3787294207411,-34.611536017555,Banco Supervielle,BANELCO,MORENO 877,CABA,1,False,False,MORENO,877,,Monserrat,Comuna 1,1091,C1091AAQ
40531,-58.3803367977923,-34.6119221585034,BBVA Banco Francés,BANELCO,MORENO 998,CABA,2,False,False,MORENO,998,,Monserrat,Comuna 1,1091,C1091AAT
40006,-58.4680792702171,-34.6596798956408,Banco Patagonia,BANELCO,MOZART Y SIN NOMBRE OFICIAL (ALT. MOZART 2400),CABA,1,False,False,MOZART,0,SIN NOMBRE OFICIAL (ALT. MOZART 2400),Villa Lugano,Comuna 8,,
40574,-58.4747632838186,-34.677917279462,BBVA Banco Francés,BANELCO,MURGUIONDO Y SAYOS,CABA,1,False,False,MURGUIONDO,0,SAYOS,Villa Lugano,Comuna 8,,
40235,-58.495119756298,-34.6022997458554,Banco Santander Río,BANELCO,NAZARRE 3225,CABA,3,False,False,NAZARRE,3225,,Villa Del Parque,Comuna 11,1417,C1417DXC
39826,-58.4953319617902,-34.6028701801907,Banco Itaú,BANELCO,NAZARRE 3262,CABA,3,False,False,NAZARRE,3262,,Villa Del Parque,Comuna 11,1417,C1417DXD
39751,-58.4927042877548,-34.6031887264623,Banco Comafi,BANELCO,NOGOYA 3135,CABA,1,False,False,NOGOYA,3135,,Villa Del Parque,Comuna 11,1417,C1417FNG
40595,-58.4940585088645,-34.6044182364108,BBVA Banco Francés,BANELCO,NOGOYA 3256,CABA,3,False,False,NOGOYA,3256,,Villa Del Parque,Comuna 11,1417,C1417FNJ
40660,-58.3674624071283,-34.6011377521558,BBVA Banco Francés,BANELCO,"OCAMPO, VICTORIA Y MOREAU DE JUSTO, ALICIA AV.",CABA,2,False,False,"OCAMPO, VICTORIA",0,"MOREAU DE JUSTO, ALICIA AV.",Puerto Madero,Comuna 1,,
41344,-58.4647453201603,-34.5470870451716,ICBC,BANELCO,"O'HIGGINS Y LARRALDE, CRISOLOGO",CABA,1,False,False,O'HIGGINS,0,"LARRALDE, CRISOLOGO",Nuñez,Comuna 13,,
40008,-58.4373549195845,-34.5647275201789,Banco Patagonia,BANELCO,OLLEROS 1712,CABA,2,False,False,OLLEROS AV.,1712,,Palermo,Comuna 14,1426,C1426CRF
40279,-58.4381508386884,-34.5646509155787,Banco Santander Río,BANELCO,OLLEROS 1747,CABA,2,False,False,OLLEROS AV.,1747,,Palermo,Comuna 14,1426,C1426CRE
40232,-58.3641635607668,-34.6001177449616,Banco Santander Río,BANELCO,PACINI DE ALVEAR REGINA Y MANSO JUANA,CABA,1,False,False,PACINI DE ALVEAR REGINA,0,MANSO JUANA,Puerto Madero,Comuna 1,,
40280,-58.3671399860182,-34.600083029671,Banco Santander Río,BANELCO,"PACINI DE ALVEAR REGINA Y MOREAU DE JUSTO, ALICIA AV.",CABA,2,False,False,PACINI DE ALVEAR REGINA,0,"MOREAU DE JUSTO, ALICIA AV.",Puerto Madero,Comuna 1,,
40775,-58.3621327569428,-34.6116007168082,Banco Galicia,BANELCO,"PAINE, AIME Y VILLAFLOR, AZUCENA",CABA,1,False,False,"PAINE, AIME",0,"VILLAFLOR, AZUCENA",Puerto Madero,Comuna 1,,
