#X;Y;FECHA;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIOS;COMUNA;DIRECCION_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.48269717983882;-34.63592237724955;12/06/2017;BENEDETTI, OSVALDO E., DIP.NAC.;129;301;430000;1428,6;0;17,5;VELEZ SARSFIELD;COMUNA 10;BENEDETTI, OSVALDO E., DIP.NAC. 129;1407;C1407JUC
-58.48237985562628;-34.636537562774365;07/06/2017;BENEDETTI, OSVALDO E., DIP.NAC.;180;570;700000;1228,1;0;17,5;VELEZ SARSFIELD;COMUNA 10;BENEDETTI, OSVALDO E., DIP.NAC. 180;1407;C1407JUD
-58.50979482021724;-34.61930464553223;15/06/2017;BERMUDEZ;2100;400;400000;1000;0;17,5;MONTE CASTRO;COMUNA 10;BERMUDEZ 2100;1417;C1417BWD
-58.511526312592146;-34.61785342389603;09/06/2017;BERMUDEZ;2275;235;250000;1063,8;0;17,5;MONTE CASTRO;COMUNA 10;BERMUDEZ 2275;1417;C1417BWG
-58.50127733133719;-34.62032009950145;09/06/2017;BERNALDES;1800;194;390000;2010,3;0;17,5;MONTE CASTRO;COMUNA 10;BERNALDES 1800;1407;C1407CTN
-58.48435910999513;-34.63572775736699;12/06/2017;BOLAÑOS;100;337;400000;1186,9;2,8;17,5;VELEZ SARSFIELD;COMUNA 10;BOLAÑOS 100;1407;C1407JPB
-58.48435910999513;-34.63572775736699;12/06/2017;BOLAÑOS;100;343;580000;1691;0;17,5;VELEZ SARSFIELD;COMUNA 10;BOLAÑOS 100;1407;C1407JPB
-58.47376822670988;-34.63639622655276;09/06/2017;BONIFACIO, JOSE;3400;315;320000;1015,9;2,5;17,5;FLORESTA;COMUNA 10;BONIFACIO, JOSE 3400;1407;C1407HEB
-58.50178848317373;-34.638935147117024;06/06/2017;BYRON;100;270;400000;1481,5;0;17,5;VILLA LURO;COMUNA 10;BYRON 100;1407;C1407IAB
-58.50178848317373;-34.638935147117024;16/06/2017;BYRON;100;259;415000;1602,3;3,5;17,5;VILLA LURO;COMUNA 10;BYRON 100;1407;C1407IAB
-58.52922785803478;-34.62716229845417;07/06/2017;CALDEN;975;145;145000;1000;0;17,5;VERSALLES;COMUNA 10;CALDEN 975;1408;C1408BQC
-58.49703540007241;-34.6348519905718;06/06/2017;CALDERON DE LA BARCA, PEDRO;300;270;275000;1018,5;0;17,5;VILLA LURO;COMUNA 10;CALDERON DE LA BARCA, PEDRO 300;1407;C1407KPF
-58.507932937600714;-34.62489191158961;12/06/2017;CALDERON DE LA BARCA, PEDRO;1600;156;229000;1467,9;3,5;17,5;MONTE CASTRO;COMUNA 10;CALDERON DE LA BARCA, PEDRO 1600;1407;C1407KQF
-58.514588860247564;-34.619995297731364;12/06/2017;CALDERON DE LA BARCA, PEDRO;2200;238;230000;966,4;0;17,5;MONTE CASTRO;COMUNA 10;CALDERON DE LA BARCA, PEDRO 2200;1417;C1417CIH
-58.50138884400884;-34.62553661661302;09/06/2017;CAMARONES;4900;130;190000;1461,5;1,2;17,5;VELEZ SARSFIELD;COMUNA 10;CAMARONES 4900;1407;C1407FNF
-58.47807217311487;-34.624611630778226;09/06/2017;CAMPANA;700;125;580000;4640;0;17,5;FLORESTA;COMUNA 10;CAMPANA 700;1406;C1406AUL
-58.47852562806263;-34.62361476745606;09/06/2017;CAMPANA;800;245;850000;3469,4;0;17,5;FLORESTA;COMUNA 10;CAMPANA 800;1406;C1406AUN
-58.4901155582914;-34.63333084499983;12/06/2017;CARRASCO AV.;300;225;250000;1111,1;0;17,5;VELEZ SARSFIELD;COMUNA 10;CARRASCO AV. 300;1407;C1407AVD
-58.50273020381757;-34.645327065456925;06/06/2017;CATANIA;5600;195;210000;1076,9;0;17,5;VILLA LURO;COMUNA 10;CATANIA 5600;1440;C1440CCD
-58.49731624519235;-34.63102021965316;14/06/2017;CERVANTES;700;273;360000;1318,7;3;17,5;VELEZ SARSFIELD;COMUNA 10;CERVANTES 700;1407;C1407BGJ
-58.498038937301985;-34.630482624366465;16/06/2017;CERVANTES;800;165;250000;1515,2;0;17,5;VELEZ SARSFIELD;COMUNA 10;CERVANTES 800;1407;C1407BGL
-58.50420465732663;-34.62973898277265;16/06/2017;MAGARIÑOS CERVANTES, A.;5100;316;430000;1360,8;0;17,5;VELEZ SARSFIELD;COMUNA 10;MAGARIÑOS CERVANTES, A. 5100;1407;C1407MLJ
-58.48693077975474;-34.6244040721381;12/06/2017;CHIVILCOY;1000;189;200000;1058,2;3;17,5;FLORESTA;COMUNA 10;CHIVILCOY 1000;1407;C1407AER
-58.49790079173231;-34.615745019924695;15/06/2017;CHIVILCOY;2000;209;295000;1411,5;2,5;17,5;MONTE CASTRO;COMUNA 10;CHIVILCOY 2000;1407;C1407AFL
-58.50051363963366;-34.61267100477265;06/06/2017;CHIVILCOY;2300;381;480000;1259,8;0;17,5;MONTE CASTRO;COMUNA 10;CHIVILCOY 2300;1417;C1417ATF
-58.471585216668934;-34.60386299890696;06/06/2017;ALVAREZ JONTE;2000;242;450000;1859,5;3;17,5;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ JONTE 2000;1416;C1416EXR
-58.472770592523446;-34.604599314159394;08/06/2017;ALVAREZ JONTE;2100;900;360000;400;3;17,5;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ JONTE 2100;1416;C1416EXS
-58.48028515424579;-34.60814410002682;14/06/2017;ALVAREZ JONTE AV.;2700;220;650000;2954,5;0;17,5;VILLA GRAL. MITRE;COMUNA 11;ALVAREZ JONTE AV. 2700;1416;C1416EXY
-58.481843366279456;-34.60852691734523;05/06/2017;ALVAREZ JONTE AV.;2800;263;445000;1692;0;17,5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 2800;1416;C1416EXZ
-58.48497125596829;-34.60924183729293;06/06/2017;ALVAREZ JONTE AV.;3000;150;320000;2133,3;0;17,5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3000;1416;C1416EYO
-58.48497125596829;-34.60924183729293;15/06/2017;ALVAREZ JONTE AV.;3000;155;225000;1451,6;2;17,5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3000;1416;C1416EYO
-58.48497125596829;-34.60924183729293;05/06/2017;ALVAREZ JONTE AV.;3000;264;320000;1212,1;0;17,5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3000;1416;C1416EYO
-58.48785874967669;-34.60999866282477;14/06/2017;ALVAREZ JONTE AV.;3200;1645;2800000;1702,1;0;17,5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3200;1416;C1416EYQ
-58.48785874967669;-34.60999866282477;07/06/2017;ALVAREZ JONTE AV.;3200;1645;3000000;1823,7;0;17,5;VILLA SANTA RITA;COMUNA 11;ALVAREZ JONTE AV. 3200;1416;C1416EYQ
